timestamp,device,ecg_value
2026-08-21T17:34:35.912036,patient_01,992
2026-08-21T17:34:35.912036,patient_01,1184
2026-08-21T17:34:35.912036,patient_01,1472
2026-08-21T17:34:35.912036,patient_01,1536
2026-08-21T17:34:35.912036,patient_01,1169
2026-08-21T17:34:35.912036,patient_01,881
2026-08-21T17:34:35.912036,patient_01,1136
2026-08-21T17:34:35.912036,patient_01,1521
2026-08-21T17:34:35.912036,patient_01,1505
2026-08-21T17:34:35.912036,patient_01,1121
2026-08-21T17:34:35.912036,patient_01,913
2026-08-21T17:34:35.912036,patient_01,1104
2026-08-21T17:34:35.912036,patient_01,1472
2026-08-21T17:34:35.912036,patient_01,1521
2026-08-21T17:34:35.912036,patient_01,1216
2026-08-21T17:34:35.912036,patient_01,976
2026-08-21T17:34:35.912036,patient_01,1201
2026-08-21T17:34:35.912036,patient_01,1536
2026-08-21T17:34:36.028984,patient_01,1505
2026-08-21T17:34:36.028984,patient_01,1185
2026-08-21T17:34:36.028984,patient_01,865
2026-08-21T17:34:36.028984,patient_01,1041
2026-08-21T17:34:36.028984,patient_01,1488
2026-08-21T17:34:36.028984,patient_01,1457
2026-08-21T17:34:36.028984,patient_01,1104
2026-08-21T17:34:36.028984,patient_01,800
2026-08-21T17:34:36.028984,patient_01,1072
2026-08-21T17:34:36.028984,patient_01,1488
2026-08-21T17:34:36.028984,patient_01,1600
2026-08-21T17:34:36.028984,patient_01,1361
2026-08-21T17:34:36.028984,patient_01,1040
2026-08-21T17:34:36.028984,patient_01,1217
2026-08-21T17:34:36.028984,patient_01,1584
2026-08-21T17:34:36.028984,patient_01,1585
2026-08-21T17:34:36.028984,patient_01,1265
2026-08-21T17:34:36.028984,patient_01,992
2026-08-21T17:34:36.028984,patient_01,1216
2026-08-21T17:34:36.028984,patient_01,1568
2026-08-21T17:34:36.028984,patient_01,1600
2026-08-21T17:34:36.028984,patient_01,1169
2026-08-21T17:34:36.028984,patient_01,897
2026-08-21T17:34:36.028984,patient_01,1089
2026-08-21T17:34:36.028984,patient_01,1393
2026-08-21T17:34:36.089014,patient_01,1297
2026-08-21T17:34:36.089014,patient_01,945
2026-08-21T17:34:36.089014,patient_01,704
2026-08-21T17:34:36.089014,patient_01,992
2026-08-21T17:34:36.089014,patient_01,1312
2026-08-21T17:34:36.089014,patient_01,1280
2026-08-21T17:34:36.089014,patient_01,944
2026-08-21T17:34:36.089014,patient_01,737
2026-08-21T17:34:36.089014,patient_01,944
2026-08-21T17:34:36.089014,patient_01,1248
2026-08-21T17:34:36.089014,patient_01,1232
2026-08-21T17:34:36.089014,patient_01,896
2026-08-21T17:34:36.089014,patient_01,641
2026-08-21T17:34:36.089014,patient_01,976
2026-08-21T17:34:36.089014,patient_01,1297
2026-08-21T17:34:36.089014,patient_01,1168
2026-08-21T17:34:36.089014,patient_01,896
2026-08-21T17:34:36.089014,patient_01,993
2026-08-21T17:34:36.089014,patient_01,1745
2026-08-21T17:34:36.089014,patient_01,2737
2026-08-21T17:34:36.089014,patient_01,3361
2026-08-21T17:34:36.089014,patient_01,3360
2026-08-21T17:34:36.089014,patient_01,3344
2026-08-21T17:34:36.089014,patient_01,3361
2026-08-21T17:34:36.089014,patient_01,3361
2026-08-21T17:34:36.208866,patient_01,3361
2026-08-21T17:34:36.208866,patient_01,3008
2026-08-21T17:34:36.208866,patient_01,2640
2026-08-21T17:34:36.208866,patient_01,2528
2026-08-21T17:34:36.208866,patient_01,2448
2026-08-21T17:34:36.208866,patient_01,2032
2026-08-21T17:34:36.208866,patient_01,1409
2026-08-21T17:34:36.208866,patient_01,1025
2026-08-21T17:34:36.208866,patient_01,1168
2026-08-21T17:34:36.208866,patient_01,1328
2026-08-21T17:34:36.208866,patient_01,1120
2026-08-21T17:34:36.208866,patient_01,720
2026-08-21T17:34:36.208866,patient_01,496
2026-08-21T17:34:36.208866,patient_01,785
2026-08-21T17:34:36.208866,patient_01,1072
2026-08-21T17:34:36.208866,patient_01,993
2026-08-21T17:34:36.208866,patient_01,561
2026-08-21T17:34:36.208866,patient_01,400
2026-08-21T17:34:36.208866,patient_01,640
2026-08-21T17:34:36.208866,patient_01,864
2026-08-21T17:34:36.208866,patient_01,817
2026-08-21T17:34:36.208866,patient_01,577
2026-08-21T17:34:36.208866,patient_01,448
2026-08-21T17:34:36.208866,patient_01,704
2026-08-21T17:34:36.208866,patient_01,1041
2026-08-21T17:34:36.329386,patient_01,992
2026-08-21T17:34:36.329386,patient_01,816
2026-08-21T17:34:36.329386,patient_01,800
2026-08-21T17:34:36.329386,patient_01,1169
2026-08-21T17:34:36.329386,patient_01,1409
2026-08-21T17:34:36.329386,patient_01,1264
2026-08-21T17:34:36.329386,patient_01,849
2026-08-21T17:34:36.329386,patient_01,800
2026-08-21T17:34:36.329386,patient_01,1152
